HDI Rank,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
69, Albania,0.65,0.658,0.668,0.677,0.681,0.682,0.691,0.711,0.705,0.708
18, Austria,0.836,0.839,0.848,0.84,0.842,0.836,0.847,0.845,0.85,0.857
53, Belarus,0.721,0.734,0.739,0.749,0.756,0.761,0.762,0.766,0.77,0.771
14, Belgium,0.833,0.842,0.84,0.838,0.846,0.845,0.842,0.847,0.859,0.859
73, Bosnia and Herzegovina,0.574,0.644,0.661,0.675,0.657,0.66,0.671,0.653,0.665,0.667
56, Bulgaria,0.699,0.701,0.717,0.713,0.721,0.722,0.713,0.709,0.711,0.721
43, Croatia,0.691,0.699,0.7,0.737,0.759,0.763,0.765,0.769,0.778,0.783
33, Cyprus,0.757,0.773,0.76,0.766,0.769,0.771,0.756,0.777,0.799,0.805
27, Czechia,0.818,0.83,0.827,0.833,0.84,0.843,0.844,0.848,0.857,0.86
10, Denmark,0.858,0.874,0.873,0.869,0.867,0.866,0.861,0.866,0.882,0.883
29, Estonia,0.768,0.792,0.787,0.793,0.792,0.799,0.795,0.807,0.824,0.829
11, Finland,0.848,0.868,0.866,0.877,0.876,0.876,0.85,0.882,0.887,0.888
26, France,0.798,0.802,0.805,0.809,0.816,0.81,0.782,0.804,0.816,0.82
6, Germany,0.853,0.868,0.87,0.868,0.872,0.871,0.86,0.867,0.867,0.869
32, Greece,0.777,0.757,0.765,0.774,0.767,0.768,0.759,0.761,0.774,0.791
40, Hungary,0.759,0.769,0.769,0.777,0.778,0.777,0.777,0.779,0.782,0.791
4, Iceland,0.839,0.853,0.857,0.873,0.876,0.88,0.884,0.885,0.892,0.894
2, Ireland,0.819,0.837,0.842,0.848,0.848,0.861,0.859,0.862,0.88,0.885
29, Italy,0.773,0.787,0.777,0.776,0.78,0.78,0.772,0.777,0.782,0.783
37, Latvia,0.733,0.738,0.742,0.75,0.754,0.76,0.765,0.769,0.785,0.783
34, Lithuania,0.736,0.756,0.749,0.757,0.772,0.772,0.776,0.77,0.781,0.791
23, Luxembourg,0.817,0.829,0.835,0.832,0.832,0.833,0.82,0.818,0.827,0.826
28, Malta,NA,NA,0.79,0.795,0.8,0.809,0.812,0.815,0.822,0.823
90, Moldova,0.617,0.631,0.642,0.645,0.658,0.661,0.662,0.666,0.669,0.672
48, Montenegro,0.723,0.75,0.747,0.752,0.737,0.744,0.748,0.749,0.755,0.749
8, Netherlands,0.842,0.863,0.864,0.868,0.87,0.87,0.867,0.865,0.878,0.878
82, North Macedonia,0.619,0.624,0.638,0.649,0.629,0.634,0.64,0.67,0.669,0.681
1, Norway,0.878,0.889,0.881,0.892,0.893,0.895,0.878,0.877,0.891,0.899
35, Poland,0.75,0.763,0.758,0.771,0.774,0.781,0.787,0.794,0.806,0.813
38, Portugal,0.73,0.748,0.746,0.755,0.759,0.766,0.736,0.742,0.751,0.761
49, Romania,0.708,0.704,0.702,0.723,0.727,0.724,0.724,0.726,0.732,0.73
52, Russian Federation,0.691,0.701,NA,0.706,0.722,0.73,0.737,0.742,0.742,0.74
64, Serbia,0.684,0.703,0.701,0.693,0.705,0.701,0.676,0.676,0.714,0.705
39, Slovakia,0.775,0.791,0.791,0.792,0.794,0.798,0.794,0.797,0.805,0.807
22, Slovenia,0.828,0.844,0.833,0.841,0.841,0.841,0.85,0.856,0.868,0.875
25, Spain,0.787,0.799,0.792,0.786,0.786,0.801,0.759,0.764,0.775,0.783
7, Sweden,0.849,0.859,0.857,0.873,0.873,0.875,0.873,0.872,0.88,0.882
2, Switzerland,0.874,0.875,0.878,0.873,0.873,0.866,0.873,0.875,0.889,0.889
74, Ukraine,0.693,0.69,0.694,0.697,0.711,0.71,0.716,0.721,0.723,0.728
13, United Kingdom,0.824,0.83,0.829,0.839,0.845,0.849,0.827,0.839,0.852,0.856
